season,state,filename,original
spring,normal,public/shiori/spring/normal.png,686DC9FA-C2C5-4755-A725-EBF4495E9E87.PNG
spring,memo,public/shiori/spring/memo.png,09163B3A-12EA-4F8C-B17E-95383AA75839.PNG
spring,glasses,public/shiori/spring/glasses.png,398DA79D-2C6F-4BA7-AE8C-F13D2FA031B8.PNG
spring,coffee,public/shiori/spring/coffee.png,5D898F44-058A-414C-9CFA-BDBC69C8B7C7.PNG
spring,surprised,public/shiori/spring/surprised.png,4745BFB9-1279-42FD-A259-7C9A0D7E72F4.PNG
spring,wink,public/shiori/spring/wink.png,563AFF14-C9AF-44BD-B03F-844944CC9ED4.PNG
spring,guts,public/shiori/spring/guts.png,7E4EAC56-19CC-4914-B41B-B570AF70499F.PNG
spring,relax,public/shiori/spring/relax.png,681CAFF6-1E81-4B78-88E2-94782E9F38A2.PNG
spring,prayer,public/shiori/spring/prayer.png,3F87C03D-42BA-4A6A-B713-DF494EB675F6.PNG
spring,smile,public/shiori/spring/smile.png,B7E0E8C2-3B76-4A1B-82ED-4BAEEAC98248.PNG
spring,thinking,public/shiori/spring/thinking.png,240C9277-CC02-446B-8F94-DCE29C900C01.PNG
spring,wave,public/shiori/spring/wave.png,64FB0D0C-9E05-459F-90F6-88B110A7E13B.PNG
summer,normal,public/shiori/summer/normal.png,C9AE190A-87F3-425C-970F-B87B1367D82E.PNG
summer,memo,public/shiori/summer/memo.png,37D018B3-D0CE-4DC6-AE47-B8C5A079E93E.PNG
summer,glasses,public/shiori/summer/glasses.png,AB46BFA7-E482-4702-B8AC-50EA38176AA5.PNG
summer,coffee,public/shiori/summer/coffee.png,4E171BE3-DF56-476D-93E9-BD1A92925EB6.PNG
summer,surprised,public/shiori/summer/surprised.png,13F68A64-D46F-48D8-B468-2E3C52B18A0E.PNG
summer,wink,public/shiori/summer/wink.png,B2C07EA8-FE0A-48AA-819D-2C694EE53928.PNG
summer,guts,public/shiori/summer/guts.png,2E12A7D0-64B2-4745-ACEA-2B8EE0A08C24.PNG
summer,relax,public/shiori/summer/relax.png,9B94CD2C-C7AF-4322-97B4-57694A3B0FEF.PNG
summer,prayer,public/shiori/summer/prayer.png,3FC62173-9CEC-4393-846E-3CDC68B46CEE.PNG
summer,smile,public/shiori/summer/smile.png,31D74C29-7FFB-4130-8333-17E45E4F2777.PNG
summer,thinking,public/shiori/summer/thinking.png,9C0AFC72-AEFC-49DF-BDCA-CF98FCDC54CB.PNG
summer,wave,public/shiori/summer/wave.png,0747263E-DD2E-40B2-93AF-DC35A869B60F.PNG
autumn,normal,public/shiori/autumn/normal.png,BBC6D7D2-DB20-449F-9E3B-C36DCF2F87FA.PNG
autumn,memo,public/shiori/autumn/memo.png,789BE9B4-2030-4B72-9718-1B7E74E2D095.PNG
autumn,glasses,public/shiori/autumn/glasses.png,8C8001E3-A44D-4DA1-B3EE-C85906A07CD0.PNG
autumn,coffee,public/shiori/autumn/coffee.png,8D7123F0-1AE1-4CBD-9864-188ABC15F106.PNG
autumn,surprised,public/shiori/autumn/surprised.png,7B7C37D5-94D2-4EE8-9CF2-94C5A50B4472.PNG
autumn,wink,public/shiori/autumn/wink.png,95FCFDD8-C7F0-4D2A-AE2A-38F48950C2E5.PNG
autumn,guts,public/shiori/autumn/guts.png,4EC78018-FFD1-4D5F-9676-B4C782E3B499.PNG
autumn,relax,public/shiori/autumn/relax.png,24DE98BD-4F28-4FC1-B8F6-79D3E12A3954.PNG
autumn,prayer,public/shiori/autumn/prayer.png,FBBCFD71-8997-46F7-8139-1A8D64365F6B.PNG
autumn,smile,public/shiori/autumn/smile.png,449C0EB8-AA35-4864-8789-0EE42D49D91A.PNG
autumn,thinking,public/shiori/autumn/thinking.png,D018BC1C-8F13-4855-BE1F-FABB51DEEDC5.PNG
autumn,wave,public/shiori/autumn/wave.png,C6458648-677E-4E75-8FD5-2BF31E0429BA.PNG
winter,normal,public/shiori/winter/normal.png,9CCE4CA8-27D3-4766-BCF2-319B4FCCD246.PNG
winter,memo,public/shiori/winter/memo.png,CF40A298-4DB4-4A5C-8D13-5C484A775904.PNG
winter,glasses,public/shiori/winter/glasses.png,A5F91564-0D4A-4F61-B3E3-626088FFC774.PNG
winter,coffee,public/shiori/winter/coffee.png,6FCE51E8-6656-4A87-B3A0-EAD41F31793C.PNG
winter,surprised,public/shiori/winter/surprised.png,71C4592B-ABE0-4036-A571-6B34691D17A7.PNG
winter,wink,public/shiori/winter/wink.png,C059C5E1-7C07-4FF3-8E0F-490F7D1E846D.PNG
winter,guts,public/shiori/winter/guts.png,2A0125AA-9230-423E-97DA-FDCF3E630BB0.PNG
winter,relax,public/shiori/winter/relax.png,DBA56B31-7E7B-4DD6-8100-BEA43E8BC2F6.PNG
winter,prayer,public/shiori/winter/prayer.png,2B67FD6D-C5EA-40B3-A7C5-F10AE88E8B0E.PNG
winter,smile,public/shiori/winter/smile.png,D271D12F-819C-4CBE-B468-100595650537.PNG
winter,thinking,public/shiori/winter/thinking.png,699B8E65-D29C-4B25-A027-01ECFFF6806D.PNG
winter,wave,public/shiori/winter/wave.png,64290272-502B-4C05-84B4-6743F0297A94.PNG
